memory,order_r,order_i,estimator_factory,score,n_coef,N
4,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.27570184669013925,376,9673
1,4,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.3782517476257652,34,9676
1,2,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.49817726743553403,19,9676
3,2,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.4902284840152964,83,9674
4,5,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.17068297122486129,502,9673
1,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.4597241187036585,23,9676
4,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.46181742582759533,130,9673
5,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9489783638892113,33,9672
4,4,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.4526178126351477,180,9673
2,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9487484693935243,6,9675
5,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9489783638892113,33,9672
5,2,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.4619136148617025,110,9672
2,1,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.49240301608045034,37,9675
1,1,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.6684129809997376,11,9676
1,3,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.7228490459298993,14,9676
3,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9488135619310863,18,9674
1,1,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9486896035329243,4,9676
3,5,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.29421625456284745,159,9674
5,1,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.24307720186112686,467,9672
