memory,order_r,order_i,estimator_factory,score,n_coef,N
4,7,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.2178888047050492,796,9673
5,8,7,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.13361411686134483,4717,9672
4,6,10,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.12978199373714708,3463,9673
5,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.18991149658864415,544,9672
1,10,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.2528261263365236,85,9676
5,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.18582271110649362,544,9672
1,6,8,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.25624593964130954,71,9676
1,6,7,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.20143685772699277,62,9676
5,4,9,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.1835775152550736,5213,9672
4,9,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.11748571018438776,2252,9673
5,1,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9488442452091119,33,9672
1,10,8,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.18699736889503699,109,9676
2,6,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.3587914430219023,92,9675
5,4,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.45207110765610614,418,9672
5,8,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.16675108243518907,3029,9672
3,9,8,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.11639393042348213,1208,9674
3,9,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.1324311359593959,839,9674
5,6,9,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.11460029411983846,5927,9672
