i,q
1.1371570825576782,-0.0613409429788589
0.0090219574049115,-0.7587206959724426
0.167719304561615,0.0182859692722558
0.0758825987577438,-0.9702099561691284
-1.0671088695526123,-0.1417815089225769
-0.0749530866742134,0.4248929917812347
-0.4888619482517242,-0.1003140583634376
-0.2812146544456482,1.0660744905471802
0.8884825110435486,0.2407092303037643
0.0079683437943458,-0.0935340300202369
0.7351335287094116,0.2949639558792114
0.4881635308265686,-1.0222735404968262
-0.5966259837150574,-0.317835122346878
0.1210403740406036,-0.2214773297309875
-0.8337468504905701,-0.5741618871688843
-0.5866879820823669,0.8635326027870178
0.2615976929664612,0.1871794611215591
-0.3836833834648132,0.4467984139919281
0.8092349171638489,0.748245358467102
0.5789672136306763,-0.6061370372772217
0.007589278742671,0.0023175911046564
0.6734062433242798,-0.5392418503761292
-0.6791208982467651,-0.8760775923728943
-0.476924866437912,0.3357807099819183
-0.1773474663496017,-0.3025358617305755
-0.9030916690826416,0.5019028782844543
0.4383010864257812,0.8935601711273193
0.2029799222946167,-0.0866286158561706
0.2528955936431885,0.6234200596809387
1.0654628276824951,-0.3481836915016174
-0.2137860357761383,-0.7483709454536438
0.1212205812335014,-0.0199401434510946
-0.1766228675842285,-0.9104037880897522
-1.0712251663208008,0.1517349779605865
0.0579736679792404,0.4578700661659241
-0.4691740870475769,0.0199925936758518
0.017718955874443,1.083693265914917
0.9616269469261168,0.029759669676423
0.0088825030252337,-0.157546192407608
0.7401707768440247,0.0778993517160415
0.1660153567790985,-1.0971802473068235
-0.6885111927986145,-0.1327729672193527
0.0421103574335575,-0.2079977095127105
-0.9168370962142944,-0.2918675243854522
-0.3381379544734955,0.9841222167015076
0.3755711317062378,0.1459197998046875
-0.2061170190572738,0.4972376227378845
0.9646389484405518,0.4714716672897339
0.4267660677433014,-0.7642935514450073
-0.0423339940607547,-0.0256194528192281
0.4708534181118011,-0.6921961903572083
-0.8910557627677917,-0.6785356998443604
-0.384437620639801,0.4786734580993652
-0.2311457991600036,-0.1960472762584686
-0.6923728585243225,0.7233402132987976
0.6855165958404541,0.7551394104957581
0.224431499838829,-0.1927392929792404
0.389504998922348,0.5021985769271851
0.907322108745575,-0.6455020308494568
-0.4582299292087555,-0.6916624307632446
0.0592956282198429,-0.0177603252232074
-0.4104769825935364,-0.782298743724823
-0.997240960597992,0.4802526235580444
0.1983823031187057,0.4728420376777649
-0.4002021849155426,0.1311020851135254
0.3257365524768829,1.0133270025253296
0.9464369416236876,-0.2513649761676788
-0.0663434118032455,-0.1831760704517364
0.6815458536148071,-0.1275952905416488
-0.1337586939334869,-1.1146838665008545
-0.7429323792457581,0.0368575565516948
-0.0123759806156158,-0.1338513642549514
-0.9444765448570251,0.0322872176766395
-0.0466605573892593,1.0634336471557615
0.4562669396400451,0.0449014268815517
-0.0513569191098213,0.4965456426143646
1.058201789855957,0.2058921009302139
0.2134580612182617,-0.908999502658844
-0.1090046092867851,-0.0117407497018575
0.236620232462883,-0.7529560327529907
-1.047999143600464,-0.4015962779521942
-0.2757315933704376,0.6184772849082947
-0.2183571457862854,-0.1188243255019187
-0.4724366068840027,0.8537555932998657
0.8835435509681702,0.5315213203430176
0.1898787766695022,-0.2793531417846679
0.456331193447113,0.3443822562694549
0.6869849562644958,-0.8679702281951904
-0.6263782382011414,-0.5686981081962585
-0.0094175497069954,-0.0084490133449435
-0.5966683626174927,-0.6059079766273499
-0.8246549367904663,0.7367511987686157
0.3750838339328766,0.4604763984680176
-0.2900842428207397,0.1954985409975052
0.5734041929244995,0.8519119620323181
0.8551254272460938,-0.5121740102767944
-0.1223056614398956,-0.2393229305744171
0.594041109085083,-0.2828263938426971
-0.4477390944957733,-1.0143139362335205
-0.7336010336875916,0.2832414507865906
-0.0219811480492353,-0.0863383710384368
-0.8740918636322021,0.2323887795209884
0.2324791997671127,1.0609303712844849
0.4788936674594879,-0.0956327021121978
0.0624767690896987,0.4310574531555176
1.0715597867965698,-0.1029586866497993
-0.0621746554970741,-0.9495601058006288
-0.1634867489337921,0.0256351940333843
0.0350952930748462,-0.73249751329422
-1.1205029487609863,-0.0932559743523597
-0.0948456376791,0.6955700516700745
-0.2057933509349823,-0.0425950549542903
-0.2084858417510986,0.9457390904426576
1.0055488348007202,0.2734743356704712
0.1319549530744552,-0.3988450765609741
0.4780232310295105,0.1906524896621704
0.3847744762897491,-1.0165107250213623
-0.810192346572876,-0.3661736249923706
-0.0320725440979003,0.0464747175574302
-0.6910123229026794,-0.4177674353122711
-0.5963813066482544,0.9290215373039246
0.5236732959747314,0.3514265716075897
-0.1798928678035736,0.2233775407075882
0.7661073207855225,0.6539989113807678
0.6690970063209534,-0.7500224113464355
-0.225607693195343,-0.2284282743930816
0.4460711777210235,-0.4024092555046081
-0.7275650501251221,-0.8685283064842224
-0.6545332670211792,0.5006540417671204
-0.0311338230967521,-0.0505901873111724
-0.7347899079322815,0.4526131153106689
0.5522971749305725,0.9641650915145874
0.4887284636497497,-0.2572461664676666
0.1680454015731811,0.3297433853149414
0.9854830503463744,-0.3934616148471832
-0.3235376179218292,-0.9517096877098083
-0.192134752869606,0.053540751338005
-0.1634914577007293,-0.6678475737571716
-1.1084028482437134,0.2440027147531509
0.1178366765379905,0.7574191093444824
-0.1375590860843658,0.0017042976105585
0.0667304471135139,0.9317406415939332
1.0497214794158936,-0.0446678921580314
-0.0071086203679442,-0.4704163670539856
0.4648527204990387,0.0323526971042156
0.0983578786253929,-1.1032534837722778
-0.8998253345489502,-0.1413191556930542
-0.0133797423914074,0.1106686070561409
-0.7481083869934082,-0.1827202588319778
-0.307983785867691,1.1078095436096191
0.6469995379447937,0.223677173256874
-0.0801407322287559,0.2280685156583786
0.8921055793762207,0.4104905724525451
0.4874036908149719,-0.9627838134765624
-0.3379651010036468,-0.1754404455423355
0.2901867628097534,-0.4922188222408294
-0.9055218696594238,-0.6230289340019226
-0.501695990562439,0.7091357111930847
0.0092227132990956,0.0173911191523075
-0.5636719465255737,0.6363015174865723
0.8178427815437317,0.7789528369903564
0.4630406498908996,-0.4093281030654907
0.2219627350568771,0.2212039232254028
0.8116701245307922,-0.6400941014289856
-0.5682586431503296,-0.7981422543525696
-0.2259149551391601,0.163518488407135
-0.3481989204883575,-0.5700203776359558
-0.9941389560699464,0.5383774638175964
0.3573311567306518,0.7239140272140503
-0.0681542679667472,0.0280142799019813
0.2937573790550232,0.8506428599357605
1.0525054931640625,-0.3430147469043731
-0.1301144212484359,-0.4914953112602234
0.4145988821983337,-0.1032497435808181
-0.1899655908346176,-1.018337965011597
-0.9411887526512146,0.1303656697273254
0.0133801260963082,0.1773557662963867
-0.7184113264083862,0.0332912765443325
0.0262532625347375,1.1544857025146484
0.741890013217926,0.0333313457667827
-0.0056942636147141,0.1551449447870254
0.9541873335838318,0.1216797605156898
0.2181054502725601,-1.0556107759475708
-0.3953544497489929,-0.0958492830395698
0.1316589415073394,-0.4915471374988556
-1.0343059301376345,-0.3328540027141571
-0.2914923131465912,0.8423963189125061
0.0633022263646125,0.0398865789175033
-0.3475635647773742,0.7367734909057617
0.9873483180999756,0.5383151769638062
0.3279481828212738,-0.539535641670227
0.234244167804718,0.1609114706516266
0.5955582857131958,-0.8344957232475281
-0.8071158528327942,-0.63288813829422
-0.2304149717092514,0.2446474581956863
-0.4487519264221191,-0.4115734696388244
-0.7987478375434875,0.7627266049385071
0.5709806084632874,0.6154688596725464
-0.0097318580374121,-5.065477125754114e-06
0.5401700139045715,0.6852729320526123
0.9238924980163574,-0.6058299541473389
-0.2940973341464996,-0.4796389639377594
