xmag,pm,po
1.138810318576639,-0.9690525374733454,-2.741811946410337
0.7587743341813321,2.1130433061372855,0.5921595986072248
0.16871319389679532,9.218475397517182,3.1341507527059775
0.9731729177509673,-1.5995015877010132,-0.8134909289898076
1.0764865701671418,-1.529030042421084,-1.863904383836541
0.431453380641293,8.854503305286784,2.883269227777703
0.49904800846593367,7.947405837639735,2.176457934179524
1.1025409295216277,-1.2269739563661801,-1.7267943108949169
0.9205118717233798,-1.0655361156734955,-0.07227867791323206
0.0938728356589459,9.241300215733077,3.7441431260297406
0.7921016603319707,1.102457387116175,1.1040800606749883
1.1328489857121198,-1.2031163407392285,-1.2484460207047334
0.676004237739095,4.207516949533073,1.8355879858434037
0.2523944922787694,9.566670315668375,3.9918151778685456
1.0123219267507149,-1.5904024678128792,0.901526960278602
1.0439786129974127,-1.4555212870185414,0.3030830614073352
0.3216667586666862,9.730128498390258,2.7235180686195406
0.5889327308723036,6.448566288680752,3.1746768964316914
1.1021489316896984,-1.4512531936606763,0.8471621148604811
0.8382154510735752,-0.0029118123212015234,1.866984272626695
0.007935261833256694,-6.647557785285983,3.0909483585716373
0.8627037392669575,-0.36268375959119226,1.778130670885588
1.1084751428396489,-1.412243557566967,0.5995607066151933
0.5832718177854826,6.797349787813545,2.925182616180706
0.35068514575568355,9.461464804261055,2.8576993202570407
1.0331897512057944,-1.7655137967649637,0.09812257736322749
0.9952676131509074,-1.596946341203818,0.21629563441959476
0.22069292226957482,9.206072219251524,3.6758447255218982
0.6727620322942771,4.181264292324386,1.8935553522568682
1.1209116469199842,-1.2802013599793156,-1.6566164399974923
0.7783081273454987,1.5504590340862023,0.805928897484705
0.12284965867041774,9.469783280571022,3.5149795642168726
0.9273783988868008,-1.1008698361878828,-0.08376484747665813
1.0819181394614508,-1.4100457529791868,-1.9719531929431184
0.46152566956752783,8.70666542691771,2.391789865417536
0.46959985919803576,8.686725320409039,2.4100128148886597
1.083838113366853,-1.3477973215566976,-2.1120874441143656
0.9620873260747668,-1.4036894342781636,-0.9685077835359834
0.15779639286792438,9.127916608691265,3.606288685039601
0.7442587506315708,2.347084602097368,0.8208466707491766
1.1096691370704845,-1.4018048942645862,-2.5162210477300846
0.7011963515544004,3.556670357363828,1.1826188602794332
0.21221764621660438,9.27223343649726,3.813647129311903
0.9621730160348252,-1.322527904751297,-0.17298038173814234
1.0405930105766656,-1.5934567653966951,-1.023447059105905
0.4029221549457715,9.511501568042377,2.52369000649864
0.5382652496781483,7.438027877213557,3.053876050619351
1.073691684751938,-1.2799164868608557,-0.12989377732904472
0.8753707268109336,-0.24645334236853955,1.0295629238906656
0.049482556683064276,9.608764659692241,2.923788469899563
0.8371609805124692,0.30592552393460437,1.880144814167636
1.1199960126379769,-1.0985738928909257,0.5803727974323465
0.6139385666758493,6.165268759819469,2.905963958301868
0.30308895558512355,9.773969586923556,2.7800410628377676
