xmag,gm,go
1.138810318576639,27.26163434624985,27.2804640292351
0.7587743341813321,27.402323162303688,27.278605876329244
0.16871319389679532,27.47195014963588,27.514350061034154
0.9731729177509673,27.2328550514655,27.21134359535113
1.0764865701671418,27.22380029680941,27.15064449476403
0.431453380641293,27.68823185891194,27.308982665058306
0.49904800846593367,27.640467505047805,27.423672071715252
1.1025409295216277,27.247733081388404,27.05030429147548
0.9205118717233798,27.23650638536292,27.1814552396403
0.0938728356589459,27.55749886076492,27.349349181374805
0.7921016603319707,27.347617378796198,27.24243168236552
1.1328489857121198,27.2473778425993,26.977014950427503
0.676004237739095,27.5330123917197,27.309150034197987
0.2523944922787694,27.527218946432907,27.398539285757167
1.0123219267507149,27.21946278757327,27.15101110726588
1.0439786129974127,27.207834105721606,27.09917623827664
0.3216667586666862,27.563677535941803,27.417127154493343
0.5889327308723036,27.58313789317446,27.381170161997126
1.1021489316896984,27.243498357196838,27.216133673351063
0.8382154510735752,27.297235538504747,27.293113663251916
0.007935261833256694,25.492937465631293,27.485374637331645
0.8627037392669575,27.295467065597844,27.39705712912428
1.1084751428396489,27.236710181731098,27.363933846959437
0.5832718177854826,27.596963091939415,27.451904869039506
0.35068514575568355,27.607408173688768,27.37423953714409
1.0331897512057944,27.23166408178564,27.44050273421673
0.9952676131509074,27.210944869610415,27.450320065945487
0.22069292226957482,27.56518974100006,27.516913033722794
0.6727620322942771,27.519030959176035,27.38798575701078
1.1209116469199842,27.242653901555283,27.444917934291485
0.7783081273454987,27.37464332666248,27.39573123610395
0.12284965867041774,27.270888267666457,27.533007809354146
0.9273783988868008,27.248848698350304,27.37607429069873
1.0819181394614508,27.235325931483278,27.368726782306787
0.46152566956752783,27.673180987012692,27.339639090966678
0.46959985919803576,27.666960809492764,27.4846624490742
1.083838113366853,27.23937847306351,27.265540754458804
0.9620873260747668,27.22814853047648,27.284124680117536
0.15779639286792438,27.6194951543105,27.344221719632888
0.7442587506315708,27.42534754051126,27.346705608171135
1.1096691370704845,27.22866511266052,27.107420430278136
0.7011963515544004,27.49775907517464,27.33955767971451
0.21221764621660438,27.469416581214062,27.356865833706728
0.9621730160348252,27.220460516164895,27.140714084241367
1.0405930105766656,27.21979194442028,27.04089695075375
0.4029221549457715,27.66546115511595,27.42609231539231
0.5382652496781483,27.622716534248664,27.30951933804532
1.073691684751938,27.230421178733835,27.044447206244612
