n,e
0,0.8157877390587224
1,0.8467260276188634
2,0.8021427307090625
3,0.7935283469886969
4,0.7974379064933029
5,0.794611610630268
6,0.820616157316217
7,0.8239449419009018
8,0.824293490043262
9,0.8332102369496295
10,0.6854654940640481
11,0.54541912856338
12,0.4719168259358824
13,0.3651633686087645
14,0.4112694017219551
15,0.4820012460507474
16,0.6542889786438872
17,0.8404030305369427
18,0.9262660847700918
19,0.9756052927405938
20,1.0108989393236363
21,0.925813275721499
22,0.8305110555431401
23,0.6121986638176882
24,0.4024047463456116
25,0.22918695702482345
26,0.23725008278567916
27,0.3966551061134406
28,0.5351184578325584
29,0.6317272689970475
30,0.6674570403255133
31,0.5889697262405559
32,0.4739455214744896
33,0.3382047349837969
34,0.15462840396578412
35,0.20332931478323096
36,0.37029882564815325
37,0.5321647633886004
38,0.6750140070288898
39,0.7514434188247169
40,0.7850944831244525
41,0.7818520271451421
42,0.8568529091602879
43,0.8929980814341228
44,0.9591850360848673
45,1.0437645297150067
46,1.130262433592256
47,1.2247904661161706
48,1.2212674841613573
49,1.235632882992704
50,1.284145301547381
51,1.211302302888245
52,1.1818714604448597
53,1.1090266044067183
54,1.0371192054102316
55,0.9655044475122101
56,0.871625888776822
57,0.7563159705387673
58,0.6348511424782741
59,0.5813903586283017
60,0.47571351078711877
61,0.37531185416989055
62,0.30967217126146657
63,0.23852037030604425
64,0.20282058901713187
65,0.13040057039675723
66,0.13518235925305686
67,0.07216443482917734
68,0.030251380279592194
69,0.0630986424132792
70,0.12378971933029739
71,0.19355057574971274
72,0.25184826015571393
73,0.32058155640857355
74,0.4247672503517618
75,0.5203630585442341
76,0.6046603512055785
77,0.688820161311008
78,0.7707265595066519
79,0.8440263009410154
80,0.9094826018852291
81,0.9553195642422773
82,1.0346321206884337
83,1.0915557611215831
84,1.1422869638284374
85,1.1498803921929164
86,1.2105771006251589
87,1.1919704275821859
88,1.1710770126197896
89,1.0931752928718097
90,0.9900957358962458
91,0.9156569948664914
92,0.8018942476760257
93,0.7276029635787266
94,0.7080052822849454
95,0.6392289280276885
96,0.6416089722507786
97,0.6699605519119844
98,0.5971127312638488
99,0.5046692528602671
100,0.3881799686136187
101,0.24817782728428164
102,0.2963015259629852
103,0.40270512839483463
104,0.6369007331136465
105,0.7276112209960768
106,0.7802129755096727
107,0.756677647702994
108,0.6542132680406036
109,0.5040616256357544
110,0.30727608941637424
111,0.3115743400536768
112,0.4159569030791802
113,0.6216698538906262
114,0.771192638699947
115,0.9241697218072863
116,1.0040159395101826
117,0.994860138162667
118,0.9403175323942738
119,0.8461272144012837
120,0.7631270063209795
121,0.5259605314829706
122,0.3028913099567593
123,0.1434734943893859
124,0.32623877582728134
125,0.6045985652962573
126,0.7809034909892831
127,0.9237270155191667
128,0.9357024639810683
129,0.8952372147464727
130,0.8814033188660595
131,0.7648962103405038
132,0.6824615776803771
133,0.6654695978834505
134,0.6178764632448679
135,0.652152587696393
136,0.7046717902944958
137,0.7427937146390813
138,0.742990182048621
139,0.6904873685249077
140,0.7373445731165793
141,0.7049750599766844
142,0.7310704264886616
143,0.6944336935581112
144,0.7053706658307185
145,0.6296816652174031
146,0.43879568156971666
147,0.28746121945550296
148,0.25244359263997823
149,0.4489758276380376
150,0.6775512728577205
151,0.9291109396314643
152,1.0811101074675409
153,1.2009750731092765
154,1.2021417912708108
155,1.0717139200390435
156,0.9026898557037296
157,0.6875072480772891
158,0.40222365736341203
159,0.1704817539271341
160,0.21353513528532755
161,0.41876786252018494
162,0.5604246003742892
163,0.6876274888869021
164,0.7003269220320145
165,0.6551786231751389
166,0.5301546457080214
167,0.3945772933688683
168,0.23737843590166263
169,0.24703791366250635
170,0.3358385416498974
171,0.5371907460669209
172,0.6800293605217953
173,0.827945187772745
174,0.9267895232038297
175,0.9465478087341559
176,0.9880331083011061
177,1.0337785042707641
178,1.060997235001667
179,1.127581906512533
180,1.1746788404822746
181,1.2388057986766532
182,1.2878476766460112
183,1.2729640662111923
184,1.2206766759709948
185,1.1554722111326692
186,1.0595908219567445
187,0.9523934873793142
188,0.8498034867257712
189,0.7842277168095063
190,0.7262056412218609
191,0.6948212965784595
192,0.6228909763160171
193,0.5745911710291677
194,0.48818944052952745
195,0.48819209681414955
196,0.41125666628132396
197,0.3467989065393512
198,0.2816578883197154
199,0.2128707930195712
200,0.16801941219408012
201,0.08221249487763728
202,0.05895213464968081
203,0.039755570691492916
204,0.09577085760644351
205,0.17481380805429755
206,0.22550786629431768
207,0.264887227366051
208,0.31684704545074466
209,0.33344384109069997
210,0.4005421993311338
211,0.4703184427007931
212,0.5538274557602436
213,0.6477025369304401
214,0.6895038368101701
215,0.8145822478467276
216,0.852047446069832
217,0.9423496010051431
218,1.0578159336052568
219,1.105477405933709
220,1.1724167184819327
221,1.2057235830099082
222,1.2320806375743727
223,1.2704411983524366
224,1.2114568874549028
225,1.106985046373596
226,1.0246705529718478
227,0.9438629874681234
228,0.8193826675687054
229,0.7069618680126367
230,0.6789058861465735
231,0.5984753684656543
232,0.5153153445460746
233,0.45152280351604607
234,0.39400968751651944
235,0.37956606982589175
236,0.4227305699882706
237,0.5568676278240308
238,0.7164501303233247
239,0.8050237600252332
240,0.8360704908489671
241,0.8471298502551534
242,0.7835327433966215
243,0.6221810185858436
244,0.4302518037892631
245,0.2582126027532979
246,0.1804291633833655
247,0.3885069931404571
248,0.6487669948098915
249,0.8467296189228394
250,1.014581468263542
251,1.1214202352345604
252,1.1145250396142852
253,1.053054066540945
254,0.8279366001086306
255,0.5864374982689226
256,0.3658219621447354
257,0.26656455471245716
258,0.40993387844863316
259,0.6113465965118321
260,0.6522115642940073
261,0.7081636201000456
262,0.667664219327566
263,0.5706903715611872
264,0.532023789951884
265,0.5526197395131217
266,0.6409651641454917
267,0.7188730367934288
268,0.7751893125648933
269,0.8238097037913312
270,0.7857288069444692
271,0.7594202662820101
272,0.7487811089521733
273,0.7652653048702291
274,0.8119171540253678
275,0.8572657530235921
276,0.9013840251484653
277,0.8787291830662283
278,0.8265897053333628
279,0.701807559188765
280,0.5519308136638705
281,0.3966167074147816
282,0.292392265650143
283,0.37245565517091
284,0.49973327742846513
285,0.7016492243319057
286,0.8367848856665732
287,0.9635678407221309
288,1.0091353395439824
289,0.9394625739274292
290,0.9491723231587417
291,0.7864294988838436
292,0.5847405109082211
293,0.40861864980378537
294,0.17934417944458575
295,0.21191832012042322
296,0.38963302381236903
297,0.46365947449654454
298,0.4980183833050858
299,0.38121615686719124
300,0.27749364869815457
301,0.1106567954325451
302,0.11533681650067847
303,0.32147500620950126
304,0.476735532476471
305,0.593926217470479
306,0.7185256832016866
307,0.7417598637261194
308,0.7912784585965132
309,0.8672516197939019
310,0.8444499631026362
311,0.8610053418292132
312,0.944184198224745
313,0.9795017351517351
314,1.067879328106545
315,1.1101263546306968
316,1.1963289921703522
317,1.270448182672317
318,1.2797127300802795
319,1.2919614837298283
320,1.2459275281405946
321,1.2026379387828277
322,1.1806826033629767
323,1.1103304920275103
324,0.984614690169283
325,0.8979733315389614
326,0.8557073383016122
327,0.729107293154675
328,0.5984276899975863
329,0.5346467677540446
330,0.46198992436838515
331,0.40066229646486795
332,0.30057321057997277
333,0.21888286879922958
334,0.17990084714613516
335,0.09861961714256227
336,0.06576065671110476
337,0.06476422822293436
338,0.08909290627608625
339,0.14412324577652408
340,0.17056776499705822
341,0.22899263341279583
342,0.2917187476471634
343,0.3450433572831663
344,0.44722292534149105
345,0.5613106071967003
346,0.6400318824300633
347,0.7607473719062564
348,0.8579843289611688
349,0.9313769158099531
350,1.0289447569356118
351,1.0981550362534542
352,1.1489883120230906
353,1.1743530007720995
354,1.179497843031259
355,1.2038329713940312
356,1.2120278880483393
357,1.1568015414938388
358,1.130729015771655
359,1.0235412370561776
360,0.9419480967294952
361,0.8743556405257873
362,0.780744898936931
363,0.7567538415910816
364,0.7034166192905928
365,0.6580138077134502
366,0.6006664515713901
367,0.5290736742536268
368,0.4200935008438527
369,0.2931171975197506
370,0.22216639669559304
371,0.2688358842141122
372,0.422836270727409
373,0.5232444878175626
374,0.5405830916079285
375,0.6059688066793866
376,0.5553731845069736
377,0.45057638778582
378,0.3661114928881219
379,0.28933484576805624
380,0.3235544672160028
381,0.5098796640109484
382,0.6930310889345687
383,0.8813014695498157
384,0.9645499971899831
385,1.0073573608455777
386,1.006245132657049
387,0.8915552526380818
388,0.790479944692591
389,0.6525595289222932
390,0.4868613261497297
391,0.4454202060276303
392,0.45046765850343656
393,0.5109302984883305
394,0.6829711254351701
395,0.7971731723490442
396,0.781400707109189
397,0.865392068134191
398,0.8053436597484497
399,0.6842176137359416
400,0.7033207119209519
401,0.7122322727044896
402,0.801312544597924
403,0.8705857047516327
404,0.9219973489967743
405,0.9572007467069549
406,0.9303639507103858
407,0.7999675606731598
408,0.6906572485943349
409,0.6053245604305684
410,0.609071711784181
411,0.5761838157175337
412,0.6551823386820008
413,0.6304930408870227
414,0.6201128748123342
415,0.5336419229638182
416,0.36894689457331153
417,0.2948796685838297
418,0.40443819310693313
419,0.6508449859976279
420,0.844955543266057
421,1.0361104431421861
422,1.077010103010141
423,1.1052305899714694
424,1.0179657628083987
425,0.8489988409879844
426,0.622411666171994
427,0.34032817425915707
428,0.14835025771438878
429,0.17943809511945
430,0.39217955582380143
431,0.5364689275790058
432,0.7088515957564236
433,0.6509309254971116
434,0.6392549468351634
435,0.5390279540618815
436,0.4001442783913676
437,0.29006515014910034
438,0.26352577920481934
439,0.37545337358249964
440,0.451258330505498
441,0.5616516149084556
442,0.6503032978510671
443,0.744808663749317
444,0.7746303630451555
445,0.8658117642683802
446,0.9272085312005492
447,1.0143260987832916
448,1.070332657598776
449,1.2047138083433835
450,1.301788416275636
451,1.3100644499034373
452,1.2721372820170562
453,1.220230063604381
454,1.1604917622904711
455,1.080723418877357
456,0.9750591567857554
457,0.9007333540554153
458,0.813833423316142
459,0.7705709185455887
460,0.6731896930014124
461,0.6137786937488673
462,0.5852110989085821
463,0.5004737831896087
464,0.4310229845699036
465,0.3940431966218136
466,0.2782699430142668
467,0.2294776302458869
468,0.1695024477270437
469,0.1675356742844294
470,0.08849038818024613
471,0.028909211227889243
472,0.05440828247821439
473,0.09958530645852165
474,0.18581773754505898
475,0.24844289961017116
476,0.2973722303332818
477,0.32900640864572717
478,0.39609011025891866
479,0.44964722712749516
480,0.5252822516411637
481,0.5863326557072682
482,0.6260658506541557
483,0.6697979483066199
484,0.740141303454025
485,0.8241488935977327
