ang,g03,p03,g06,p06,g10,p10,g115,p115
0.0,27.40286247677706,3.1576841853811857,27.347381294827628,1.8218251372398413,27.234122502500497,-1.4097182645782027,27.187246264617663,-3.0680101404210802
1.0,27.4017116373415,3.1602030436349082,27.342691572788674,1.8311353579805143,27.220699272157415,-1.3885408663181806,27.16927390490511,-3.0432811579686074
2.0,27.400589435895487,3.16324975405513,27.338108347904818,1.842598445539835,27.207512162234103,-1.3611512136147041,27.151570587528177,-3.0102067675590547
3.0,27.399501406501603,3.166809932453134,27.333654391138055,1.8561618852632193,27.19462808320905,-1.3276568696911966,27.13422679305161,-2.9689008481402084
4.0,27.398452919747886,3.1708666657783624,27.3293519001172,1.8717625540882636,27.18211299063759,-1.2881976907038108,27.117332226985972,-2.919521465380228
5.0,27.397449156036377,3.1754005917942436,27.325222382578808,1.8893269775575732,27.170031506555667,-1.2429456264675594,27.100975291904973,-2.8622710189079896
6.0,27.396495079744483,3.180389991208301,27.321286542142772,1.9087716454546069,27.158446536924423,-1.1921043095174468,27.08524254553752,-2.7973960873664794
7.0,27.39559541439675,3.1858108918546577,27.317564167162047,1.9300033854438823,27.147418888194945,-1.1359084242343158,27.070218149309248,-2.725186951396836
8.0,27.39475461898047,3.191637184455658,27.314074023389917,1.9529197936380456,27.137006886322233,-1.074622849988856,27.05598331236606,-2.6459767778805485
9.0,27.393976865533702,3.197840749422312,27.31083375120539,1.9774097205399812,27.127266001765502,-1.0085415747853972,27.042615736613342,-2.560140452650103
10.0,27.393266018128443,3.2043915940865872,27.307859768125873,2.003353810328832,27.118248484170735,-0.9379863786792839,27.03018906873075,-2.468093053393943
11.0,27.39262561336508,3.211257999694425,27.305167177316783,2.0306250909779067,27.11000301053236,-0.8633052892571129,27.01877236545336,-2.370287959561722
12.0,27.39205884248657,3.2184066774293,27.30276968277989,2.0590896122194806,27.102574350667766,-0.7848708146457852,27.008429578629585,-2.267214601626648
13.0,27.39156853521269,3.2258029326783912,27.300679511865717,2.088607127911672,27.096003053805482,-0.7030779627904451,26.99921906665771,-2.1593958579661603
14.0,27.391157145385478,3.233410836702319,27.298907345710795,2.1190318189250945,27.09032515998158,-0.6183420590394348,26.991193138855266,-2.0473851137352597
15.0,27.39082673850726,3.2411934048212743,27.297462258148002,2.150213052258266,27.08557193975811,-0.531096377313446,26.984397639120054,-1.9317630022722199
16.0,27.390578981242296,3.2491127801889377,27.296351663578477,2.181996171717458,27.081769665521932,-0.4417896032377655,26.978871574895,-1.8131338556183323
17.0,27.390415132942024,3.2571304221890784,27.295581274226848,2.2142233151662083,27.078939417295654,-0.3508831504948944,26.97464679695303,-1.6921218964739637
18.0,27.390336039242626,3.2652072984593303,27.295155067129123,2.2467342530679275,27.077096925599605,-0.25884835423340746,26.971747734879944,-1.5693672091704514
19.0,27.39034212777158,3.273304079523598,27.29507526112513,2.2793672428150558,27.076252453452256,-0.16616356757006656,26.97019119236515,-1.4455215318455714
20.0,27.39043340598799,3.281381334995757,27.295342304046017,2.311959893168847,27.076410719095676,-0.07331118898767386,26.969986205530255,-1.3212439158099585
21.0,27.390609461169028,3.289399730309185,27.295954870203193,2.344350033021641,27.077570860493843,0.019225350297432442,26.971133966555797,-1.197196300957728
22.0,27.39086946254242,3.29732022292103,27.296909868199503,2.3763765786479496,27.079726442087676,0.11096460918187745,26.973627813833104,-1.074039057903292
23.0,27.39121216555255,3.305104256945185,27.298202458997416,2.407880393625959,27.082865503714828,0.20143013972796098,26.977453288800284,-0.9524265482561702
24.0,27.391635918235444,3.3127139551775997,27.299826084093908,2.4387051356914924,27.08697065102852,0.2901534407837687,26.98258825854876,-0.8330027540477261
25.0,27.392138669665634,3.3201123074949805,27.301772503569115,2.468698084928718,27.092019186192495,0.37667683344508873,26.98900310224005,-0.7163970258156667
26.0,27.39271798042639,3.327263354631782,27.304031843696063,2.497710947902732,27.097983277101015,0.46055623106840926,26.99666095838125,-0.6032199962845084
27.0,27.39337103504306,3.3341323663707954,27.306592653723968,2.525600632596536,27.10483016288681,0.5413637784532739,27.005518029098585,-0.4940597030432343
28.0,27.394094656308443,3.340686013219141,27.309441971377993,2.5522299893228535,27.112522393045726,0.618690337142084,27.015523936745307,-0.3894779592387465
29.0,27.394885321418858,3.3468925306823962,27.31256539655503,2.577468513134278,27.12101809713484,0.6921477964675375,27.02662212750189,-0.2900070062205202
30.0,27.395739179829516,3.3527218752991814,27.31594717263905,2.6011930036477224,27.130271281695926,0.7613711929357692,27.038750316087462,-0.19614647645585137
31.0,27.396652072729037,3.35814587164802,27.319570274811063,2.623288178624108,27.140232150824716,0.8260206236883505,27.051840965310262,-0.10836068906388618
32.0,27.3976195540244,3.36313834959725,27.323416504688257,2.6436472380937346,27.15084744664896,0.8857829430523907,27.065821793944835,-0.027076294169518178
33.0,27.398636912720292,3.367675271127439,27.327466590594973,2.662172376285355,27.162060805896044,0.940373234487339,27.080616306332832,0.04731972386824168
34.0,27.399699196570015,3.3717348461200345,27.331700292744408,2.6787752390956143,27.173813128720322,0.9895360534875977,27.09614433715606,0.11448168028019268
35.0,27.400801236869405,3.3752976365724123,27.336096512594924,2.6933773253161633,27.18604295601862,1.0330464401320114,27.112322605013052,0.17410646235805416
36.0,27.401937674260203,3.37834664876749,27.340633405637615,2.705910330313287,27.198686851582103,1.070710702921673,27.129065268730614,0.22593444739896995
37.0,27.403102985405447,3.3808674129957126,27.345288496872634,2.7163164313221273,27.211679785608304,1.1023669782604486,27.146284480741357,0.26975007763940084
38.0,27.404291510396202,3.3828480504995184,27.35003879823989,2.724548513968955,27.224955516319366,1.1278855723662673,27.163890932339466,0.30538210776990127
39.0,27.40549748074676,3.38427932738,27.35486092728459,2.730570340063906,27.23844696669306,1.1471690945242585,27.18179438616974,0.3327035440339614
40.0,27.406715047834155,3.38515469527772,27.35973122635898,2.734356657110254,27.252086593603373,1.1601523923826846,27.19990419189039,0.35163129663806103
41.0,27.407938311637132,3.3854703187106168,27.36462588168822,2.735893250350216,27.265806746977592,1.1668023014418623,27.21812978155922,0.3621255692350758
42.0,27.40916134963037,3.3852250890207927,27.369521041658857,2.7351769385083458,27.27954001689916,1.1671172219923562,27.236381141908414,0.36418901061338715
43.0,27.410378245690392,3.3844206249507636,27.374392933723527,2.7322155146987086,27.293219566911183,1.1611265375317998,27.254569261280032,0.35786565445980045
44.0,27.411583118871835,3.3830612599360563,27.379217979352823,2.727027634233309,27.306779452098077,1.1488898891471422,27.272606549578118,0.34323967322663407
45.0,27.412770151914977,3.381154016265498,27.383972906505377,2.719642651300717,27.320154920834618,1.1304963205096499,27.29040723014456,0.32043397177142197
46.0,27.41393361934879,3.378708566321592,27.38863485912833,2.7101004066814767,27.33328269938873,1.106063308026279,27.307887702973428,0.2896086456318301
47.0,27.415067915057353,3.375737181173804,27.39318150324243,2.6984509688267906,27.346101258840655,1.0757356903490063,27.324966879138643,0.25095932760805795
48.0,27.41616757918195,3.3722546668520863,27.397591129207868,2.6847543307527815,27.358551064034383,1.0396845108968762,27.341566486715404,0.20471544483098114
49.0,27.41722732423574,3.368278288682916,27.401842749808196,2.6690800652971234,27.370574804504038,0.9981057863317346,27.357611348826758,0.15113840675920187
50.0,27.418242060313336,3.3638276841186325,27.40591619383,2.651506941347492,27.382117607517205,0.9512192130724486,27.373029634740803,0.09051974264247065
51.0,27.41920691928305,3.3589247645382727,27.40979219485431,2.6321225036882083,27.393127233547435,0.8992668229764149,27.38775308518275,0.023179204971057743
52.0,27.4201172778556,3.3535936065415513,27.413452475012157,2.611022619122025,27.403554254630073,0.8425115982824707,27.401717213211406,-0.050537146645183384
53.0,27.420968779429273,3.347860333297348,27.41687982349084,2.5883109915158116,27.413352216168413,0.7812360548314246,27.414861482143934,-0.13025886880896564
54.0,27.42175735461803,3.3417529865454867,27.420058169608822,2.5640986483904555,27.42247778284345,0.7157408014807061,27.42712946210052,-0.2155930545733611
55.0,27.42247924037571,3.335301389883341,27.422972650305795,2.5385034016333634,27.43089086933965,0.6463430825327521,27.438468966784523,-0.3061262422684763
56.0,27.4231309976364,3.3285370040001965,27.42560967192029,2.5116492848593737,27.438554756634524,0.5733753089239144,27.448832172119204,-0.4014263064952672
57.0,27.42370952739789,3.321492774548659,27.42795696615015,2.4836659698837877,27.44543619461259,0.4971835828864073,27.45817571833307,-0.5010443266456832
58.0,27.424212085182567,3.314202973367543,27.430003640110954,2.454688164704976,27.451505491755558,0.4181262198183049,27.46646079702601,-0.6045164299571297
59.0,27.424636293816754,3.306703033791024,27.431740220425176,2.4248549953270526,27.456736592634535,0.33657227018613867,27.473653224662662,-0.7113656076172958
60.0,27.424980154477446,3.2990293807987996,27.433158691289137,2.394309373683768,27.461107143886416,0.25290004345120565,27.47972350383123,-0.8211035037886063
61.0,27.425242055962016,3.2912192567762304,27.434252526477408,2.363197353863029,27.4645985492994,0.16749563526408906,27.484646873478546,-0.9332321786228022
62.0,27.425420782144414,3.2833105436680228,27.435016715254434,2.3316674787700435,27.467196014562507,0.08075145851609022,27.48840334918931,-1.0472458473756774
63.0,27.425515517588266,3.2753415823186742,27.435447782171373,2.2998701193187117,27.468888582153728,-0.006935221721022344,27.49097775442189,-1.1626325986142376
64.0,27.425525851294967,3.2673509898019404,27.43554380073304,2.2679568081958905,27.46966915675292,-0.0951637497938691,27.492359743447118,-1.2788760952296343
65.0,27.4254517785722,3.2593774755465006,27.43530440092546,2.236079570213491,27.469534521470038,-0.1835315383851821,27.492543816562907,-1.3954572625357002
66.0,27.425293701015523,3.251459657069148,27.434730770599206,2.204390251240227,27.468485345079337,-0.2716355257797147,27.49152932797842,-1.511855968138093
67.0,27.425052424603397,3.243635876127314,27.433825650708012,2.1730398476979644,27.46652618034703,-0.35907363264976766,27.489320486578347,-1.6275526985129716
68.0,27.424729155913127,3.235944016102053,27.432593324406533,2.142177838608859,27.463665453435148,-0.44544621956751485,27.485926349592905,-1.74203023733142
69.0,27.42432549647269,3.228421321418523,27.431039600015247,2.1119515221956817,27.459915444260254,-0.5303575463784966,27.481360809014156,-1.8547753505078504
70.0,27.423843435270918,3.221104219805113,27.429171787866036,2.082505359062992,27.455292257583302,-0.6134172343918181,27.475642570415374,-1.9652804827412638
71.0,27.423285339455717,3.214028148184269,27.42699867104795,2.05398032402573,27.449815784508402,-0.6942417320588277,27.46879512365013,-2.073045469949818
72.0,27.422653943257455,3.207227382976697,27.424530470080313,2.026513268696192,27.443509653975,-0.7724557844201172,27.460846704732237,-2.177579271478436
73.0,27.421952335181892,3.2007348755881253,27.421778801549426,2.0002362969981675,27.43640117374227,-0.8476939061112603,27.451830248030173,-2.278401725277547
74.0,27.42118394352456,3.194582093830462,27.418756630756704,1.9752761558355871,27.428521260287447,-0.9196018571242917,27.44178332775079,-2.3750453284135347
75.0,27.420352520265357,3.1887988700115955,27.415478218439283,1.951753643210651,27.419904356974527,-0.9878381198362263,27.43074808754113,-2.4670570442735027
76.0,27.41946212340968,3.1834132564063964,27.411959061640367,1.9297830361533386,27.410588339796437,-1.0520753750397205,27.418771156905315,-2.5540001366704246
77.0,27.4185170978493,3.178451388796077,27.40821582882518,1.909471540890678,27.400614409956855,-1.1120019738503686,27.40590355302043,-2.6354560297428407
