memory,r_deg,i_deg,score,n_coef,N
2,8,8,0.20164925886718582,48,9675
2,8,9,0.20160200327049585,51,9675
2,8,10,0.20057602740262695,54,9675
2,8,11,0.1999184041423479,57,9675
2,8,12,0.19989594472207045,60,9675
2,8,13,0.1996738850358274,63,9675
2,8,14,0.19947586645597806,66,9675
2,8,15,0.19926831783517354,69,9675
2,9,1,0.682812583611238,30,9675
2,9,2,0.327152705993466,33,9675
2,9,3,0.30632071732999416,36,9675
2,9,4,0.2103297848804577,39,9675
2,9,5,0.20370264989941045,42,9675
2,9,6,0.20199662298529694,45,9675
2,9,7,0.20175510815215922,48,9675
2,9,8,0.20158617419602562,51,9675
2,9,9,0.20152823414173276,54,9675
2,9,10,0.2004946358582766,57,9675
2,9,11,0.1997797574883478,60,9675
2,9,12,0.199753034436241,63,9675
2,9,13,0.1995127058964528,66,9675
2,9,14,0.1992830578465531,69,9675
2,9,15,0.19907128683975708,72,9675
2,10,1,0.6826307067173848,33,9675
2,10,2,0.3263347683034524,36,9675
2,10,3,0.3056370457772848,39,9675
2,10,4,0.20906464838961258,42,9675
2,10,5,0.20240387219898978,45,9675
2,10,6,0.2007861542832578,48,9675
2,10,7,0.20053726478560358,51,9675
2,10,8,0.20035124653551586,54,9675
2,10,9,0.20028506545205463,57,9675
2,10,10,0.19913317527964117,60,9675
2,10,11,0.19837734359798828,63,9675
2,10,12,0.19835206260977017,66,9675
2,10,13,0.19813584205184648,69,9675
2,10,14,0.19791528230805408,72,9675
2,10,15,0.19769468671716608,75,9675
2,11,1,0.6813109842874151,36,9675
2,11,2,0.3260907106996174,39,9675
2,11,3,0.30543241819922595,42,9675
2,11,4,0.20852263531073803,45,9675
2,11,5,0.20180233371362472,48,9675
2,11,6,0.20008824685845122,51,9675
2,11,7,0.19988349121106205,54,9675
2,11,8,0.19969424478850922,57,9675
2,11,9,0.1995737195734974,60,9675
2,11,10,0.1983831804229479,63,9675
2,11,11,0.19762424427434178,66,9675
2,11,12,0.19758791837732553,69,9675
2,11,13,0.19736442656972894,72,9675
2,11,14,0.19714391418903762,75,9675
2,11,15,0.1968969424788558,78,9675
2,12,1,0.6804049397711215,39,9675
2,12,2,0.32610791631925196,42,9675
2,12,3,0.3054109684324505,45,9675
2,12,4,0.20849254015393176,48,9675
2,12,5,0.20176631929303937,51,9675
2,12,6,0.20008725590942575,54,9675
2,12,7,0.199881949765287,57,9675
2,12,8,0.19968696521310214,60,9675
2,12,9,0.19956615558041363,63,9675
2,12,10,0.1983737931068026,66,9675
2,12,11,0.19760578275980517,69,9675
2,12,12,0.19756733245831193,72,9675
2,12,13,0.19734071723322838,75,9675
2,12,14,0.1971232087900234,78,9675
2,12,15,0.19687656591963218,81,9675
2,13,1,0.6799792144978449,42,9675
2,13,2,0.3256500882783581,45,9675
2,13,3,0.305089258021582,48,9675
2,13,4,0.20826903940829783,51,9675
2,13,5,0.2015608703182085,54,9675
2,13,6,0.19986931973679573,57,9675
2,13,7,0.19966838613425664,60,9675
2,13,8,0.1994807299582312,63,9675
2,13,9,0.19934773308373316,66,9675
2,13,10,0.1981848801641793,69,9675
2,13,11,0.19740835223861028,72,9675
2,13,12,0.197369208814864,75,9675
2,13,13,0.19711277142761402,78,9675
2,13,14,0.19687751322949076,81,9675
2,13,15,0.19662226227703167,84,9675
2,14,1,0.679540528962159,45,9675
2,14,2,0.3256438856032958,48,9675
2,14,3,0.3050728289250437,51,9675
2,14,4,0.20806676649458522,54,9675
2,14,5,0.20139816849779946,57,9675
2,14,6,0.19971360981049618,60,9675
2,14,7,0.1995126896287935,63,9675
2,14,8,0.19932966177354855,66,9675
2,14,9,0.1991726100188268,69,9675
2,14,10,0.19801451438951692,72,9675
2,14,11,0.19723552500100253,75,9675
2,14,12,0.19720232162154577,78,9675
2,14,13,0.1969418426308853,81,9675
2,14,14,0.1967360050276013,84,9675
2,14,15,0.19646131697246197,87,9675
2,15,1,0.6792587144082769,48,9675
2,15,2,0.32550692724549485,51,9675
2,15,3,0.3049752458566583,54,9675
2,15,4,0.20778621600678118,57,9675
2,15,5,0.20122781629399902,60,9675
2,15,6,0.1995734337322786,63,9675
2,15,7,0.19937435823093352,66,9675
2,15,8,0.19919980457935757,69,9675
2,15,9,0.19903887933378817,72,9675
2,15,10,0.19787119462757094,75,9675
2,15,11,0.19706270063183948,78,9675
2,15,12,0.1970306940512504,81,9675
2,15,13,0.1967496639286561,84,9675
2,15,14,0.19652165254477474,87,9675
2,15,15,0.19623310133055696,90,9675
3,1,1,0.9490224142919508,8,9674
3,1,2,0.7156797485973602,12,9674
3,1,3,0.5630743321461379,16,9674
3,1,4,0.5288198653071822,20,9674
3,1,5,0.5258305750297041,24,9674
3,1,6,0.5253581769431589,28,9674
3,1,7,0.5252831098219158,32,9674
3,1,8,0.5251960435069634,36,9674
3,1,9,0.525118015399202,40,9674
3,1,10,0.5246505168240398,44,9674
3,1,11,0.5227270859522256,48,9674
3,1,12,0.521248704221165,52,9674
3,1,13,0.5208416688932306,56,9674
3,1,14,0.5205196410503974,60,9674
3,1,15,0.5198407101622603,64,9674
3,2,1,0.7177658542005367,12,9674
3,2,2,0.39214792676705956,16,9674
3,2,3,0.37321397440954385,20,9674
3,2,4,0.3151681304548699,24,9674
3,2,5,0.3102586061150441,28,9674
3,2,6,0.3091470544463573,32,9674
3,2,7,0.3085059945924056,36,9674
3,2,8,0.3080299842148123,40,9674
3,2,9,0.30762178529070106,44,9674
3,2,10,0.30650350129896037,48,9674
3,2,11,0.30612143325501534,52,9674
3,2,12,0.3060026675973177,56,9674
3,2,13,0.3049548555208039,60,9674
3,2,14,0.30478099701804706,64,9674
3,2,15,0.3036373229039037,68,9674
3,3,1,0.5655424698715245,16,9674
3,3,2,0.37335064241980337,20,9674
3,3,3,0.3457967038222756,24,9674
3,3,4,0.27313526285304646,28,9674
3,3,5,0.26457717194835084,32,9674
3,3,6,0.26336627380837563,36,9674
3,3,7,0.2624497287315342,40,9674
3,3,8,0.26187031425687735,44,9674
3,3,9,0.26147192279076426,48,9674
3,3,10,0.26052239804128074,52,9674
3,3,11,0.26020808418512686,56,9674
3,3,12,0.2601531934894427,60,9674
3,3,13,0.2595254094419824,64,9674
3,3,14,0.25949473312776494,68,9674
3,3,15,0.25896637280684415,72,9674
3,4,1,0.5331841995118584,20,9674
3,4,2,0.3164936832952652,24,9674
3,4,3,0.2750394250072774,28,9674
3,4,4,0.20310853473298954,32,9674
3,4,5,0.19887006517469086,36,9674
3,4,6,0.1962482058969265,40,9674
3,4,7,0.19578879620606138,44,9674
3,4,8,0.1954161677439697,48,9674
3,4,9,0.19505601993905056,52,9674
3,4,10,0.19338934310753778,56,9674
3,4,11,0.19255706821946517,60,9674
3,4,12,0.19239654941767453,64,9674
3,4,13,0.19172835105040437,68,9674
3,4,14,0.19164943483783797,72,9674
3,4,15,0.19076430269267675,76,9674
3,5,1,0.5304298586292094,24,9674
3,5,2,0.3116532523351635,28,9674
3,5,3,0.2666538563099483,32,9674
3,5,4,0.19879852259936204,36,9674
3,5,5,0.19435494359120356,40,9674
3,5,6,0.1920473897042403,44,9674
3,5,7,0.19167568610739733,48,9674
3,5,8,0.19134820680237022,52,9674
3,5,9,0.19098009929478246,56,9674
3,5,10,0.18939042736290224,60,9674
3,5,11,0.1886639408846809,64,9674
3,5,12,0.18847670424101695,68,9674
3,5,13,0.18789627919418195,72,9674
3,5,14,0.18778989217581613,76,9674
3,5,15,0.18707486032530454,80,9674
3,6,1,0.5298420441378414,28,9674
3,6,2,0.3103852825753505,32,9674
3,6,3,0.2652780064722502,36,9674
3,6,4,0.19571006047940537,40,9674
3,6,5,0.19171249228449047,44,9674
3,6,6,0.18946128484377228,48,9674
3,6,7,0.1892612898762155,52,9674
3,6,8,0.188899834784034,56,9674
3,6,9,0.18873906193030843,60,9674
3,6,10,0.1872952515784204,64,9674
3,6,11,0.1865914432983484,68,9674
3,6,12,0.18643663378798697,72,9674
3,6,13,0.18570097523373652,76,9674
3,6,14,0.18558696747754821,80,9674
3,6,15,0.18475273600678108,84,9674
3,7,1,0.5297421207009575,32,9674
3,7,2,0.30971856421015054,36,9674
3,7,3,0.2642774829478154,40,9674
3,7,4,0.19519474158438635,44,9674
3,7,5,0.19135711137716205,48,9674
3,7,6,0.18929054472334209,52,9674
3,7,7,0.18910361687253446,56,9674
3,7,8,0.18881892507968914,60,9674
3,7,9,0.1886756913459148,64,9674
3,7,10,0.18726458711177582,68,9674
3,7,11,0.18657852736052785,72,9674
3,7,12,0.18643624239122972,76,9674
3,7,13,0.18571094891802553,80,9674
3,7,14,0.18559800990196898,84,9674
3,7,15,0.18476282593359056,88,9674
3,8,1,0.5296774895938828,36,9674
3,8,2,0.309294673646014,40,9674
3,8,3,0.2636421546630504,44,9674
3,8,4,0.19481703996982283,48,9674
3,8,5,0.1910231808677231,52,9674
3,8,6,0.18897213195516774,56,9674
3,8,7,0.1888202682370554,60,9674
3,8,8,0.1884225124530376,64,9674
3,8,9,0.1883022636518367,68,9674
3,8,10,0.18683584284511714,72,9674
3,8,11,0.1861412575644694,76,9674
3,8,12,0.18597940273852837,80,9674
3,8,13,0.1852334464360203,84,9674
3,8,14,0.1851271798416197,88,9674
3,8,15,0.1843000238058701,92,9674
3,9,1,0.5295847649999116,40,9674
3,9,2,0.30893085184676333,44,9674
3,9,3,0.2632819062693746,48,9674
3,9,4,0.1944721205639268,52,9674
3,9,5,0.19069499665812606,56,9674
3,9,6,0.18882177993314372,60,9674
3,9,7,0.1887029362367682,64,9674
3,9,8,0.18831769498116505,68,9674
3,9,9,0.1882013190523652,72,9674
3,9,10,0.18668087048757603,76,9674
3,9,11,0.1859218381823062,80,9674
3,9,12,0.1857835111514713,84,9674
3,9,13,0.18501755691599592,88,9674
3,9,14,0.1848996471726444,92,9674
3,9,15,0.18400118152682937,96,9674
3,10,1,0.5291237190447605,44,9674
3,10,2,0.3073990366240603,48,9674
3,10,3,0.2620379883549373,52,9674
3,10,4,0.19245894207491113,56,9674
3,10,5,0.18873923196211584,60,9674
3,10,6,0.1870804259584023,64,9674
3,10,7,0.18695241883945965,68,9674
3,10,8,0.18649786924150932,72,9674
3,10,9,0.18633643681151782,76,9674
3,10,10,0.18440301776980256,80,9674
3,10,11,0.18354291592695368,84,9674
3,10,12,0.1833926876951037,88,9674
3,10,13,0.18261151057428635,92,9674
3,10,14,0.1824842388032228,96,9674
3,10,15,0.18145562374586857,100,9674
3,11,1,0.5274063548900155,48,9674
3,11,2,0.30693358160054723,52,9674
3,11,3,0.26166112343360587,56,9674
3,11,4,0.1915424054033937,60,9674
3,11,5,0.18793139435571113,64,9674
3,11,6,0.18629814227724614,68,9674
3,11,7,0.18617179131693098,72,9674
3,11,8,0.18568613239935758,76,9674
3,11,9,0.18543975776093216,80,9674
3,11,10,0.18341030377010464,84,9674
3,11,11,0.18250846853804475,88,9674
3,11,12,0.18236632133846742,92,9674
3,11,13,0.18157128725775268,96,9674
3,11,14,0.18144868512605192,100,9674
3,11,15,0.18033621077718115,104,9674
3,12,1,0.5258787871471261,52,9674
3,12,2,0.30684132208844356,56,9674
3,12,3,0.261649801132258,60,9674
3,12,4,0.19136035582099278,64,9674
3,12,5,0.18772556363608753,68,9674
3,12,6,0.18609981383784263,72,9674
3,12,7,0.18599610195465455,76,9674
3,12,8,0.1854836033921483,80,9674
3,12,9,0.1852747611619834,84,9674
3,12,10,0.18326462338129446,88,9674
3,12,11,0.18236290525903057,92,9674
3,12,12,0.18222158971418476,96,9674
3,12,13,0.18139214456986372,100,9674
3,12,14,0.18126639113038107,104,9674
3,12,15,0.18011340376624163,108,9674
3,13,1,0.5255100479286511,56,9674
3,13,2,0.3057636196692922,60,9674
3,13,3,0.26103511122675016,64,9674
3,13,4,0.190877193247254,68,9674
3,13,5,0.18730307669833746,72,9674
3,13,6,0.1855665153060233,76,9674
3,13,7,0.18544871671435648,80,9674
3,13,8,0.184925472877506,84,9674
3,13,9,0.18470364093358244,88,9674
3,13,10,0.18267033454398676,92,9674
3,13,11,0.1817570589943805,96,9674
3,13,12,0.18157533285356303,100,9674
3,13,13,0.18076034255687543,104,9674
3,13,14,0.18063808099298728,108,9674
3,13,15,0.17949846238192674,112,9674
3,14,1,0.5250363628895335,60,9674
3,14,2,0.30553066382997335,64,9674
3,14,3,0.26097609523595366,68,9674
3,14,4,0.19078914978943787,72,9674
3,14,5,0.18716265755153727,76,9674
3,14,6,0.18544157143410833,80,9674
3,14,7,0.18532850266600143,84,9674
3,14,8,0.1847892850065525,88,9674
3,14,9,0.1845872300331671,92,9674
3,14,10,0.18260238585823763,96,9674
3,14,11,0.18168099111592725,100,9674
3,14,12,0.18149795534411653,104,9674
3,14,13,0.18066784044550713,108,9674
3,14,14,0.18052477812903672,112,9674
3,14,15,0.17942731502376408,116,9674
3,15,1,0.5246997458745716,64,9674
3,15,2,0.3047274038105535,68,9674
3,15,3,0.26060376009734937,72,9674
3,15,4,0.19012742549612446,76,9674
3,15,5,0.1866282032612693,80,9674
3,15,6,0.18480199537906292,84,9674
3,15,7,0.18468123108070517,88,9674
3,15,8,0.18415285987298594,92,9674
3,15,9,0.18388202313940694,96,9674
3,15,10,0.18173372207663005,100,9674
3,15,11,0.18077952509748463,104,9674
3,15,12,0.18058216498233398,108,9674
3,15,13,0.17978460835720156,112,9674
3,15,14,0.17964431691527727,116,9674
3,15,15,0.1785378794985184,120,9674
4,1,1,0.9491263866077476,10,9673
4,1,2,0.6978698904642736,15,9673
4,1,3,0.5570671574426511,20,9673
4,1,4,0.5196799564971073,25,9673
4,1,5,0.5141552030388007,30,9673
4,1,6,0.5137569471994405,35,9673
4,1,7,0.5136443074216838,40,9673
4,1,8,0.5135424052422211,45,9673
4,1,9,0.5132236288877288,50,9673
4,1,10,0.5123493472074305,55,9673
4,1,11,0.5104626641838773,60,9673
4,1,12,0.5092981839181061,65,9673
4,1,13,0.5090534915361113,70,9673
4,1,14,0.5087811906858817,75,9673
4,1,15,0.5085540525165578,80,9673
4,2,1,0.6996189430424887,15,9673
4,2,2,0.3889257019799734,20,9673
4,2,3,0.35866652155428974,25,9673
4,2,4,0.3018346494608237,30,9673
4,2,5,0.29439940832867084,35,9673
