Xreal,Ximg,X_magnitude,Ypred_real,Ypred_img,Yreal,Yimg,error_point,G_real,G_img,G_magnitude,G_magnitude_dB,G_phase_deg
0.3903445899486542,1.0226629972457886,1.0946271076663152,9.557726434548385,23.3108293897385,9.543060302734377,23.29570770263672,0.021065631801350897,22.99160798110377,-0.5558140996575232,22.99832530577243,27.233924253446197,-1.3848357451371867
0.2546091973781585,1.0578510761260986,1.0880600822797861,6.402148856432177,24.151228134025587,6.4412384033203125,24.1406192779541,0.0405035862988109,22.95612672728367,-0.5637820065716671,22.963048675427256,27.2205909280206,-1.4068504627798055
0.1158400103449821,1.074460506439209,1.08068695184791,3.300311404687818,24.661064753749088,3.252233028411865,24.588781356811523,0.08681255518740148,22.944407639330066,-0.5531637566271652,22.9510747474142,27.21606054774281,-1.3810690038728266
-0.0232758801430463,1.0724812746047974,1.072733821119836,0.10866191460809205,24.65595688293979,0.0954854413866996,24.66883087158203,0.018421699978954695,22.98888219278884,-0.5879561003412734,22.99639964972457,27.233196951089734,-1.465058654984882
-0.160044252872467,1.0523231029510498,1.0644238234284462,-3.061205781679746,24.234915028471733,-3.024444103240967,24.258546829223636,0.04370220827845987,22.958445140362617,-0.6176079328832929,22.966750811157425,27.22199116676784,-1.5409491114880056
-0.2918393909931183,1.014787197113037,1.055918219162719,-6.1441299150737905,23.435690146754496,-6.061224460601807,23.47477149963379,0.09165515001396282,22.952147357387158,-0.6278323652012444,22.96073260577738,27.21971481874437,-1.5668763494955622
-0.4161543846130371,0.9610336422920228,1.0472679377550558,-9.019340481958352,22.29626513144467,-8.92075252532959,22.29206657409668,0.09867731794104995,22.918053149690756,-0.6417005113526865,22.92703512707914,27.206957927392814,-1.603850338664868
-0.5307849049568176,0.8924584984779358,1.038371218223767,-11.663346333254594,20.76383327646181,-11.581000328063965,20.806774139404297,0.09286970593848479,22.92326433178663,-0.6569743607802985,22.93267675034216,27.20909498910922,-1.6416316876857178
-0.6336458325386047,0.8107726573944092,1.0290089130187035,-14.116685738808883,19.04801966372179,-14.003647804260254,18.99651527404785,0.12421866527500965,22.92581011852777,-0.6453057217971824,22.934890212629632,27.20993331084438,-1.6123109428024676
-0.7230685949325562,0.7177802324295044,1.0188408389166064,-16.137828422179155,16.880534009891562,-16.12557029724121,16.911479949951172,0.0332853245915853,22.926569452903113,-0.629596697223849,22.935212640826887,27.21005541982445,-1.5730294818555182
-0.7977007031440735,0.6154054999351501,1.0074970675624724,-17.992862874376442,14.666270581074059,-17.87856674194336,14.647198677062988,0.11587641438950495,22.930598554827952,-0.671407468373263,22.94042584764427,27.21202951068239,-1.6771401106257993
-0.8565521836280823,0.5056219696998596,0.9946533162470237,-19.423967128213917,12.173723668325692,-19.32191276550293,12.152318954467772,0.10427489977787188,22.939349140269243,-0.6464055186777875,22.948454829764646,27.215068976988203,-1.6141046382921107
-0.8989999890327454,0.39041468501091,0.9801145884808797,-20.428705416263256,9.523313828191021,-20.396892547607425,9.499049186706545,0.04001039163121626,22.94900039241904,-0.6000249541337497,22.95684318360938,27.218243352047487,-1.4977152002611593
-0.9247693419456482,0.2717938721179962,0.9638828999019958,-21.067098140789312,6.729633674141951,-21.077957153320312,6.748885154724121,0.022102887995782246,22.95472739123781,-0.5514141640706428,22.961349419979243,27.21994815224532,-1.3760838413446912
-0.9339570999145508,0.1515906900167465,0.946179476516243,-21.43726030454809,4.005254602598143,-21.38996124267578,3.981203556060791,0.05306273733555742,22.98876379298087,-0.5314173317990333,22.994905198978415,27.232632468986093,-1.32423599694203
-0.9269315004348756,0.0318523496389389,0.9274786135949288,-21.317999427999894,1.1984581657670788,-21.269311904907227,1.1885372400283811,0.04968802343031715,22.96288329084069,-0.4931491189116027,22.96817809671141,27.222530940970287,-1.2302906430798681
-0.9043660163879396,-0.0855723693966865,0.9084054832515895,-20.949039842016646,-1.6064063153717143,-20.87483024597168,-1.6158465147018433,0.07480763001559135,23.04501558125928,-0.393833984157231,23.048380601412326,27.252808338047657,-0.9790763058716432
