memory,r_deg,i_deg,lag_depth,lead_depth,estimator_factory,score,n_coef,N
1,1,1,2,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9488808808902996,4,9669
1,1,1,2,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9488810106843402,4,9669
1,1,1,2,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9488825967433904,4,9669
1,1,1,3,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9488128328312087,4,9672
1,1,1,3,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9488128341323858,4,9672
1,1,1,3,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.948812847173183,4,9672
1,1,1,3,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.948812980482167,4,9672
1,1,1,3,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9488146014753523,4,9672
1,1,1,3,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9488380560764211,4,9671
1,1,1,3,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9488380573716897,4,9671
1,1,1,3,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9488380703534139,4,9671
1,1,1,3,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9488382030721367,4,9671
1,1,1,3,2,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.94883981821019,4,9671
1,1,1,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9488631295019222,4,9670
1,1,1,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9488631307913663,4,9670
1,1,1,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9488631437148627,4,9670
1,1,1,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9488632758517661,4,9670
1,1,1,3,3,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9488648852171719,4,9670
1,1,1,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9488863844941707,4,9669
1,1,1,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9488863857780072,4,9669
1,1,1,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9488863986454215,4,9669
1,1,1,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9488865302219537,4,9669
1,1,1,3,4,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9488881340284014,4,9669
1,1,1,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.948910764130168,4,9668
1,1,1,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9489107654095847,4,9668
1,1,1,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.0001)",0.9489107782328008,4,9668
1,1,1,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.001)",0.9489109093677679,4,9668
1,1,1,3,5,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=0.01)",0.9489125088000196,4,9668
1,1,1,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-06)",0.9488424739981274,4,9671
1,1,1,4,1,"functools.partial(<class 'src.core.estimators.Ridge'>, lam=1e-05)",0.9488424753110177,4,9671
