Xreal,Ximg,X_magnitude,Ypred_real,Ypred_img,Yreal,Yimg,error_point,G_real,G_img,G_magnitude,G_magnitude_dB,G_phase_deg
1.0084078311920166,0.473099946975708,1.1138715876786713,23.43922842033131,10.395533586907376,23.453981399536133,10.300141334533691,0.09652632909389393,22.990204653785263,-0.571716373375169,22.99731222631277,27.233541630360406,-1.4245277882157719
0.9386492967605592,0.5972692966461182,1.1125615106704172,21.91105573418877,13.291306878479205,21.922605514526367,13.183323860168455,0.10859893954061585,22.985774014576513,-0.581019151951507,22.993116150363687,27.2319566634882,-1.4479763781128319
0.8534095883369446,0.7109582424163818,1.1107517940229599,19.996229324816568,15.939353596868926,20.02911376953125,15.871559143066406,0.07534901904188947,23.00028686659746,-0.5632516780347734,23.007182539341592,27.237268764042177,-1.4028301140347015
0.7541043758392334,0.812066376209259,1.1082081072747652,17.748014961655073,18.29948565645543,17.79262924194336,18.287921905517575,0.046088548918299964,23.01760914228561,-0.5356082693584366,23.02383996741715,27.243555158754035,-1.3330036158495069
0.6424511075019836,0.8987200260162354,1.104735765100935,15.261031568222862,20.336850244383015,15.254165649414062,20.3120174407959,0.025764490584627205,22.98748560049004,-0.5405799944437545,22.993840935414198,27.23223045429149,-1.3471349193737288
0.5204620361328125,0.9693304896354676,1.100219218698005,12.50072676553745,22.006958927536516,12.496835708618164,21.959806442260746,0.04731275928997234,22.958152976615402,-0.5653269657735057,22.965112293997286,27.221371467140308,-1.4105797114828946
0.3903445899486542,1.0226629972457886,1.0946271076663152,9.539923149200575,23.28255007265693,9.543060302734377,23.29570770263672,0.013526454043082932,22.99160798110377,-0.5558140996575232,22.99832530577243,27.233924253446197,-1.3848357451371867
0.2546091973781585,1.0578510761260986,1.0880600822797861,6.43614191938417,24.154051470177478,6.4412384033203125,24.1406192779541,0.014366556178747259,22.95612672728367,-0.5637820065716671,22.963048675427256,27.2205909280206,-1.4068504627798055
0.1158400103449821,1.074460506439209,1.08068695184791,3.253868880745756,24.590500456837276,3.252233028411865,24.588781356811523,0.0023730397714408786,22.944407639330066,-0.5531637566271652,22.9510747474142,27.21606054774281,-1.3810690038728266
-0.0232758801430463,1.0724812746047974,1.072733821119836,0.09783431729471204,24.622412329310464,0.0954854413866996,24.66883087158203,0.04647793330870596,22.98888219278884,-0.5879561003412734,22.99639964972457,27.233196951089734,-1.465058654984882
-0.160044252872467,1.0523231029510498,1.0644238234284462,-3.0223230069809546,24.207390305400452,-3.024444103240967,24.258546829223636,0.05120047830847179,22.958445140362617,-0.6176079328832929,22.966750811157425,27.22199116676784,-1.5409491114880056
-0.2918393909931183,1.014787197113037,1.055918219162719,-6.0461915130805295,23.444349446732446,-6.061224460601807,23.47477149963379,0.03393362364837587,22.952147357387158,-0.6278323652012444,22.96073260577738,27.21971481874437,-1.5668763494955622
-0.4161543846130371,0.9610336422920228,1.0472679377550558,-8.901667992735703,22.304237744961924,-8.92075252532959,22.29206657409668,0.022635299524373185,22.918053149690756,-0.6417005113526865,22.92703512707914,27.206957927392814,-1.603850338664868
-0.5307849049568176,0.8924584984779358,1.038371218223767,-11.567311976486572,20.778742221128383,-11.581000328063965,20.806774139404297,0.031195503059477353,22.92326433178663,-0.6569743607802985,22.93267675034216,27.20909498910922,-1.6416316876857178
-0.6336458325386047,0.8107726573944092,1.0290089130187035,-13.986206782394948,18.990354888314382,-14.003647804260254,18.99651527404785,0.01849701586989672,22.92581011852777,-0.6453057217971824,22.934890212629632,27.20993331084438,-1.6123109428024676
-0.7230685949325562,0.7177802324295044,1.0188408389166064,-16.09795670142011,16.915371682788773,-16.12557029724121,16.911479949951172,0.027886488818967835,22.926569452903113,-0.629596697223849,22.935212640826887,27.21005541982445,-1.5730294818555182
-0.7977007031440735,0.6154054999351501,1.0074970675624724,-17.898003815473114,14.604145688549508,-17.87856674194336,14.647198677062988,0.0472372696855243,22.930598554827952,-0.671407468373263,22.94042584764427,27.21202951068239,-1.6771401106257993
-0.8565521836280823,0.5056219696998596,0.9946533162470237,-19.346135207525563,12.145974316411278,-19.32191276550293,12.152318954467772,0.025039591242824795,22.939349140269243,-0.6464055186777875,22.948454829764646,27.215068976988203,-1.6141046382921107
-0.8989999890327454,0.39041468501091,0.9801145884808797,-20.413177613413538,9.532445822798326,-20.396892547607425,9.499049186706545,0.03715560079660006,22.94900039241904,-0.6000249541337497,22.95684318360938,27.218243352047487,-1.4977152002611593
-0.9247693419456482,0.2717938721179962,0.9638828999019958,-21.110370548978977,6.784809369808825,-21.077957153320312,6.748885154724121,0.04838571532567498,22.95472739123781,-0.5514141640706428,22.961349419979243,27.21994815224532,-1.3760838413446912
-0.9339570999145508,0.1515906900167465,0.946179476516243,-21.430847780732787,3.9695124580613044,-21.38996124267578,3.981203556060791,0.04252517803279097,22.98876379298087,-0.5314173317990333,22.994905198978415,27.232632468986093,-1.32423599694203
-0.9269315004348756,0.0318523496389389,0.9274786135949288,-21.379104409093223,1.140299553391881,-21.269311904907227,1.1885372400283811,0.11992192621649002,22.96288329084069,-0.4931491189116027,22.96817809671141,27.222530940970287,-1.2302906430798681
